WKT,LM_ASSET_ID,Signal_Type_NotUsed,Intersection_Name,Suburb,Local_Authority,IIT_DATE_COMMISSIONED,SITE_ID_REVISION,IIT_NO_PHASES,PHASE_TYPE,POLE_PAINT_CONDITION,CONTROLLER_PAINT_CONDITION,TIMING_CHART,CONFLICT_CHART,DETECTOR_CHART,CABLE_WIRING_CHARTS,PHASE_SEQ_CHART,As_Constructed_Drawings_Issued,A_DRAWING_CHANGE_REQD,LM_A_Drawing_No,LM_B_Drawing_No,DRAWING_COMMENT,Controller_Housing_Serial_Number,Module_Serial_Number,Controller_Date_Fitted,Controller_Watts,Controller_Type_NotUsed,Controller_Type_Mark,Lamp_Control_Boards,Housing_Size,Communications_Type_NotUsed,Dimming_Fitted,Dimming_VCR,Top_Hat_Fitted,PD204,PD208,PD212,PD216,RACK_TYPE,DETECTOR_MS,DETECTOR_SS,PD104,PD108,LDM404,LDM408,LDM412,LDM416,EIM16,EIM32,DET4,DET8,DET12,DET16,AGDU_typ,AGDU_qty,AGDU_typ_veh,AGDU_qty_veh,IIT_UPS,Aerial_Pole,Pole_Top_Isolator,UMS_Pit,IIT_SWB_NO,Metered,Meter_Number,Supply_Authority,Push_Button_Poles,Plain_Poles,Stubby_Push_Button_Poles,Overhead_Mast_Arm_Poles,CCTV_Poles,IIT_NO_POLES,Stubby_Protection_Poles,Ring_Main,Termination_Pits,STAR_System,Number_Metal_Finial_Clips,Number_Plastic_Finial_Clips,Total_Finial_Caps,Number_Termination_Pits,IIT_NO_RT_SIGNS_NO,IIT_NO_RED_LIGHT_CAMS,IIT_NO_AWFS,Symmetripole_Loops,Quadrapole_Loops,Bicycle_Loops,Police_Cam_Loops,Counter_Loops,Total_Loops,Eleven_Metre_Loops,LAMP20W,LAMP30W,LAMP67W,LAMP100W,LED200_3ASP,LED200_2ASP,LED200_1ASP,LED200_WDW,LED200_CDC,AEI200ELV3ASP,AEI200ELV2ASP,AEI200ELV1ASP,AEI200ELVW_DW,AEI200ELVC_DC,SIEMENS200ELV3ASP,SIEMENS200ELV2ASP,SIEMENS200ELV1ASP,SIEMENS200ELVW_DW,SIEMENS200ELVC_DC,SIEMENS300ELV3ASP,SIEMENS300ELV2ASP,SIEMENS300ELV1ASP,SIEMENS300ELVW_DW,SIEMENS300ELVC_DC,Lamp_Change_Date_Red_Green,Lamp_Change_Date_Amber,Push_Button_Type,Push_Buttons,Audible_Push_Button_Type,Audible_Push_Button_Driver_Type,IIT_NO_AUD_PUSH_BTNS,Audible_Push_Button_Driver,RMC_plastic,RMC_iron,IIT_CCTV_NO,IIT_MICROCELL_POLE_NO,Site_Note,Comment_,Company,Contact_Details,Site_Inventory_Carried_Out_By,Site_Inventory_Date,Account,IIT_LATITUDE,IIT_LONGITUDE,IIT_HYPERLINK_1,IIT_HYPERLINK_2,IIT_HYPERLINK_3,GHD_Hyperlink_1,GHD_Hyperlink_2,GHD_Hyperlink_3,GIS_Hyperlink_1,GIS_Hyperlink_2,GIS_Hyperlink_3,GHD_GIS_Hyperlink_1,GHD_GIS_Hyperlink_2,GHD_GIS_Hyperlink_3,IIT_SLK,Road_no,Downer_GIS_Hyperlink_1,Downer_GIS_Hyperlink_2,IIT_HYPERLINK_4,IIT_HYPERLINK_5,IPAddress,POLE_TO_POLE_SYSTEM,FULLY_LED_SITE,IIT_DATE_DECOMMISSIONED,IIT_COMMISSIONED,Modem_Make,Modem_Model,Modem_SerialNumber,IIT_COMMS_TYPE,IIT_SIGNAL_TYPE_Old,IIT_CONTROLLER_TYPE,ITT_PHASE_TYPE_A,ITT_PHASE_TYPE_B,IIT_SIGNAL_TYPE,UPS_Inventory_Carried_Out_Byxxx,UPS_Inventory_Datexxx,Hyperlink_1,Hyperlink_2,Hyperlink_3,Hyperlink_4,Hyperlink_5,Hyperlink_6,Hyperlink_7,Hyperlink_8,Hyperlink_9,Hyperlink_10,TcsNo
"POINT (115.84742501000005 -31.945335990999979)",00001,Traffic Signal,RAILWAY ST / SUTHERLAND ST,WEST PERTH,PERTH,1953/12/07 00:00:00,A,4,LT / SPLIT,Good,Good,1,1,1,1,1,1,1,9431-3125-10,9431-3126-9,LMA requires cctv & top hat adding,ATC-1302-1398,ATC-1302-1943,2013/02/04 00:00:00,100,PSC,-,3,LARGE,PSTN,1,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,0,0,1,,0,,,7,4,,,1,12,,,0,1,0,11,11,,,,,11,,,,,11,,,,,,28,,4,8,,,,,,,,,,,,,,,,,,,,,AEI,AEI,8,8,1,0,00258,,,"18/7/2013 CCTV CAM POLE 4 COMMISSIONED
Aldridge black back led lanterns",ELECTRICAL SERVICES,138 138,G HAYDOCK,2015/05/01 00:00:00,36 135 7470,-31.945336,115.847425,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM001A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM001B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM001A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM001B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM001A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM001B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM001A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM001B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM001A.pdf,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM001B.pdf,,,10.28.16.18,0,1,,C,Micro Connect,ADSL-LCM,30703,1,7,3,1,9,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM0001A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM001B.pdf#,-,-,-,-,-,-,-,1
"POINT (115.85649401000001 -31.954687990999957)",00002,Traffic Signal,ST GEORGES TCE / WILLIAM ST,PERTH,PERTH,1954/12/19 00:00:00,B,3,XPED,Good,Good,1,1,1,1,1,1,0,9631-3248-14,9631-3249-11,COP to provide DM with MFP materials in event of accident. LMA requires cctv & top hat adding,03120013,03115744,2008/05/10 00:00:00,70,PSC,3,2,LARGE,PSTN,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,,,8,2,,,1,10,,,0,1,,3,3,,,,,9,,,,,9,,,,,,18,,,8,,,,,,,,,,,,,,,,,,,,,ATS,ATS,8,8,1,0,00263,10,2 MFP USED WITH PUSH BUUTONS,led street lighting on mfp's fed from tcu signals 15/8/2013 CCTV COMMISSIONED DATE,ELECTRICAL SERVICES,138 138,T THATCHER,2013/08/09 00:00:00,36 135 7470,-31.954688,115.856494,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM002A.pdf##,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM002B.pdf,,,,,\\mrwa.wa.govau\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM002A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM002B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM002A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM002B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM002A.pdf,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM002B.pdf,,,10.28.40.18,0,1,,C,Micro Connect,ADSL-LCM,30718,1,7,2,2,13,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM002A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM002B.pdf#,-,-,-,-,-,-,-,2
"POINT (115.85702001000004 -31.953565990999948)",00003,Traffic Signal,HAY ST / WILLIAM ST,PERTH,PERTH,1954/12/19 00:00:00,C,4,XPED / REPEAT,Good,Good,1,1,1,1,1,1,1,9631-3250-12,9631-3251-10,Lma Rev 15 handed out Feb 2015,9310422,95101635,2007/11/08 00:00:00,70,PSC,2,2,LARGE,PSTN,1,1,1,,,,1,,,,,,,,,,,,,,,,,,0,,,0,0,1,,0,,,5,,,,1,6,,,0,1,,5,5,,,,,,4,,,,4,,,,,,11,,,6,,,,,,,,,,,,,,,,,,,,,AEI,ATS,6,6,1,0,00294,,8/7/2013 CCTV COMMISSIONED DATE,Countdown lanterns installed 15/11/2015,ELECTRICAL SERVICES,138 138,M O DEA,2013/08/01 00:00:00,36 135 7470,-31.953566,115.85702,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM003A.PDF,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM003B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM003A.PDF,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM003B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM003A.PDF,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM003B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM003A.PDF,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM003B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM003A.PDF,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM003B.pdf,,,10.28.41.18,0,1,,C,Micro Connect,ADSL-LCM,30719,1,7,2,1,7,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM003A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM003B.pdf#,-,-,-,-,-,-,-,3
"POINT (115.85752801000001 -31.952459990999955)",00004,Traffic Signal,MURRAY ST / WILLIAM ST,PERTH,PERTH,1954/12/19 00:00:00,B,3,XPED,Good,Good,1,1,1,1,1,1,0,9631-3053-10,9631-3054-8,LMA Rev 13 handed out Feb 2015,ATC 1204 1141,ATC 1204 1458,2013/01/04 00:00:00,100,PSC,-,2,LARGE,PSTN,1,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,0,0,1,,0,,,6,1,,,,7,,,0,1,,6,6,,,,,5,,,,,5,1,,,,,13,,,6,,,,,,,,,,,,,,,,,,,,,AEI,AEI,6,6,1,0,,5,"1 x Arial Pole 5, 1X TELECOM ARIEL POST TOP",COUNTDOWN Lanterns install 18/10/2014,ELECTRICAL SERVICES,138 138,C Camillo,2013/12/03 00:00:00,36 135 7470,-31.95246,115.857528,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM004A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM004B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM004A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM004B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM004A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM004B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM004A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM004B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM004A.pdf,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM004B.pdf,,,10.0.225.86,0,1,,C,Micro Connect,PSTN,01202,4,7,3,1,13,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM004A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM004B.pdf#,-,-,-,-,-,-,-,4
"POINT (115.85810201000004 -31.951230990999932)",00005,Traffic Signal,WELLINGTON ST / WILLIAM ST,PERTH,PERTH,1954/12/19 00:00:00,E,3,TT x PED,GOOD,Good,1,1,1,1,1,1,0,9631-3256-11,9631-3257-11,,0804 0010,0804 0192,1954/12/19 00:00:00,100,ECLIPSE,4,1,LARGE,ADSL,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,1,00244,0,,,8,2,,,1,11,,STAR,0,1,,10,10,,,,,,9,,,,9,,,,,,25,,,8,,,,,,,,,,,,,,,,,,,,,ATS,ATS,8,8,1,0,00027,,,,ELECTRICAL SERVICES,138 138,B JONES,2012/09/30 00:00:00,36 135 7470,-31.951231,115.858102,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM005A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM005B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM005A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM005B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM005A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM005B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM005A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM005B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM005A.pdf,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM005B.pdf,,,10.28.8.18,0,1,,C,Micro Connect,ADSL,30310,1,7,4,13,13,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM005A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM005B.pdf#,-,-,-,-,-,-,-,5
"POINT (115.80261201000008 -31.97930699099993)",00006,Traffic Signal,DALKEITH RD / STIRLING HWY,NEDLANDS,NEDLANDS,1956/06/04 00:00:00,A,3,2PH,GOOD,GOOD,1,1,1,1,1,1,0,9631-3177-11,9361-3178-8,,ATC-1111-1030,ATC-0904-0221,2013/01/20 00:00:00,100,PSC,-,3,LARGE,PSTN,1,1,0,,,,,,,,,,,,,,1,,,,,1,,,,,,0,0,1,,0,,,8,4,,,,12,,51 core,1,0,5,6,11,3,4,,,8,,,,,8,1,,,,,23,,,8,,,,,,,,,,,,,,,,,,,,,ATS,ATS,8,8,1,0,,7,"BY T THATCHER, G BERNARD 14/10/2010","WAN 10.1.160.94
IP 10.52.11.18
BOX 10.52.11.1",ELECTRICAL SERVICES,138 138,C DOWDEN,2014/10/28 00:00:00,36 135 7470,-31.979307,115.802612,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM006A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM006B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM006A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM006B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM006A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM006B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM006A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM006B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM006A.pdf,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM006B.pdf,,,10.1.160.94,0,1,,C,Micro Connect,PSTN,03787,4,7,3,13,13,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM006A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM006B.pdf#,-,-,-,-,-,-,-,6
"POINT (115.78136601000006 -31.983118990999969)",00007,Traffic Signal,BAYVIEW TCE / STIRLING HWY,CLAREMONT,CLAREMONT,1956/06/04 00:00:00,A,3,XPED,GOOD,POOR,1,1,1,1,1,1,0,9731-3021-7,9731-3022-7,,ATC-1208-1255,ATC-1208-1633,2013/01/20 00:00:00,100,PSC,-,2,LARGE,PSTN,1,1,0,,,,,NA,,,,,,,,,1,,,,,1,NA,0,NA,0,N,0,0,1,,0,,NA,8,2,,,,10,,32,0,0,6,4,10,,2,,,4,4,,,,8,,,,,,16,,,8,,,,,,,,,,,,,,,,,,,,,PANICH,ATS,8,8,1,0,,,LED UPGRADE 18.06.2011,,ELECTRICAL SERVICES,138 138,C DOWDEN,2014/10/30 00:00:00,36 135 7470,-31.983119,115.781366,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM007A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM007B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM007A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM007B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM007A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM007B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM007A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM007B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM007A.pdf,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM007B.pdf,,,10.1.160.102,1,1,,C,Micro Connect,PSTN,03793,4,7,3,14,13,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM007A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM007B.pdf#,-,-,-,-,-,-,-,7
"POINT (115.76289501000008 -31.997922990999939)",00008,Traffic Signal,STIRLING HWY / LEAKE ST / NAPOLEON ST,COTTESLOE,COTTESLOE,1957/04/10 00:00:00,B,3,LT,GOOD,GOOD,1,1,1,1,1,1,0,9431-3027-13,9431-3028-12,,0611 0109,0701 6976,2007/11/27 00:00:00,70,PSC,3,3,LARGE,PSTN,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,,,8,3,,,,11,,32,0,1,,11,11,,,,,9,,,,,9,,,,,,19,,,8,,,,,,,,,,,,,,,,,,,,,ATS,ATS,8,8,1,0,,,,Site upgraded to aldridge led  16/01/2013,ELECTRICAL SERVICES,138 138,A KING,2015/01/19 00:00:00,36 135 7470,-31.997923,115.762895,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM008A.PDF,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM008B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM008A.PDF,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM008B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM008A.PDF,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM008B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM008A.PDF,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM008B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM008A.PDF,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM008B.pdf,,,10.1.160.110,0,1,,C,Micro Connect,PSTN,3582,4,7,2,1,13,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM008A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM008B.pdf#,-,-,-,-,-,-,-,8
"POINT (115.87290801000006 -31.956107990999953)",00009,Traffic Signal,BENNETT ST / WELLINGTON ST,EAST PERTH,PERTH,1957/06/06 00:00:00,B,5,LT / PWALK,Good,Good,1,1,1,1,1,1,1,9731-3071-6,9731-3072-7,,ATC-1111-1011,ATC-1110-1363,2013/02/07 00:00:00,100,PSC,-,3,LARGE,PSTN,1,1,1,,,,,,,,,,,,,,1,,,,,1,,,,,,0,0,1,,0,,,6,2,,1,1,10,2,51,1,0,0,8,8,3,,,,10,,,,,10,,,,,,22,4,,8,,,,,,,,,,,,,,,,,,,,,AEI,ATS,8,8,1,0,00262,,29/01/2012 LED UPGRADE,05/03/2013 CCTV POLE 3 COMMISSIONED,ELECTRICAL SERVICES,138 138,M ODEA,2014/05/24 00:00:00,36 135 7470,-31.956108,115.872908,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM009A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM009B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM009A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM009B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM009A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM009B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM009A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM009B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM009A.pdf,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM009B.pdf,,,10.28.43.18,0,1,,C,Micro Connect,ADSL-LCU,30563,1,7,3,5,13,6,,,#\\nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM009A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM009B.pdf#,-,-,-,-,-,-,-,9
"POINT (115.87216501000012 -31.934445990999961)",00010,Traffic Signal,BEAUFORT ST / WALCOTT ST,MOUNT LAWLEY,VINCENT,1957/06/21 00:00:00,B,3,XPED,Good,GOOD,1,1,1,1,1,1,0,9431-3101-14,9431-3102-11,LMA dwg should be 9431-3101-15 correct and re-issue,ATC 1001-0379,ATC 1011-0877,2011/03/16 00:00:00,100,PSC,-,2,LARGE,PSTN,1,1,0,,,,,,,,,,,,,,1,,,,,1,,,,,,0,0,1,,0,,,8,4,,,,12,,29,1,0,,12,12,4,8,,,8,,,,,8,,,,,,17,,,8,,,,,,,,,,,,,,,,,2010/09/07 00:00:00,,,,AEI,AEI,8,8,1,0,,,LANTERN UPGRADE TO LED 16/03/11,,ELECTRICAL SERVICES,138 138,B. JONES,2013/10/09 00:00:00,36 135 7470,-31.934446,115.872165,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM010A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM010B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM010A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM010B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM010A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM010B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM010A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM010B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM010A.pdf,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM010B.pdf,,,10.56.18.18,0,1,,C,Micro Connect,ADSL,30913,1,7,3,13,7,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM010A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM010B.pdf#,-,-,-,-,-,-,-,10
"POINT (115.77799001000005 -31.984268990999965)",00011,Traffic Signal,STIRLING HWY / QUEENSLEA DVE / STIRLING RD,CLAREMONT,CLAREMONT,1957/08/11 00:00:00,B,5,2 X LT / SPLIT,GOOD,GOOD,1,1,1,1,1,1,0,9831-3037-17,8420-3444-12,,9904 0359,9505 1105,2007/01/21 00:00:00,70,PSC,3,4,LARGE,ADSL,1,1,0,,,,1,,,,,,,,,,,,,,,,,,,,,0,0,1,,0,,,9,6,,,1,16,,29+13,1,0,4,11,15,3,,,,9,2,,,,11,,,,,,28,,4,10,,,,,,,,,,,,,,,,,,,ATS,6,ATS,ATS,4,4,1,0,00028,,,Site upgraded to led 20/01/2013,ELECTRICAL SERVICES,138 138,A KING,2013/08/29 00:00:00,36 135 7470,-31.984269,115.77799,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM011A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM011B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM011A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM011B.pdf,,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM011A.pdf,\\mrwa.wa.gov.au\DFSRoot\TCIC\tcic asset drawings\traffic control signals\PDF format\LM011B.pdf,,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM011A.pdf,G:\611\57750400\Asset_Management_Master\Drawings\WEB\Traffic_Signals\LM011B.pdf,,,,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM011A.pdf,\\wlsh-fp01\gis\databases\Traffic Signals\pdfs\LM011B.pdf,,,10.52.8.18,0,1,,C,Micro Connect,ADSL,30349,1,7,2,1,9,6,,,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM011A.pdf#,-,#\\Nbrsrv01\Electrical_Services_Asset_Drawings\Traffic Control Signals\PDF\LM011B.pdf#,-,-,-,-,-,-,-,11
